Table 1
FUNCTION 1: NAVIGATION AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Questions,Choice B,Choice C,Choice D,Answer,
181,Anderson turn in a man overboard situation should only be applicable when:,the vessel is very maneuverable,the man is reported missing rather than immediately seen as he falls overboard,the coning officer is inexperienced,a boat will be used to recover the man,A,
182,Aneroid barometers are usually calibrated to indicate atmospheric pressure in:,inches of mercury and millibars,feet of mercury and millibars,inches of mercury and millimeters,inches of mercury and centimeters,A,
183,Anticyclones are usually characterized by:,"dry, fair weather",high winds and cloudiness,gustiness and continuous precipitation,overcast skies,A,
184,Any winds with components from the East and generally moving in a westerly direction is termed as:,easterlies,southeasterlies,westerlies,northerlies,A,
185,Anyone seeing a person in the water should immediately throw a lifebuoy and give alarm by _______________.,informing the first crew member that you met and point out the person in the water,looking for ship telephone and report what you saw to the Captain,reporting to any officer that you can see and point to the person in the water,going to the bridge quickly and report the incident and point to where the person is in the water,A,
186,"As a minimum, an ECDIS must be able to perform:",all of the choices,geographical coordinates to display coordinates and display coordinates to geographical coordinates,true distance and azimuth between two geographical positions,geographical position from a known position given distance and azimuth,A,
187,"As a ship moves through the water, it causes a wake, which is also moving forward relative to the sea. In addition to a fore and aft motion, this wake also has a(n) __________. ",upward and inward flow,downward and outward flow,downward and inward flow,upward and outward flow,A,
188,"As a ship moves through the water, it drags with it a body of water called the wake. The ratio of the wake speed to the ship's speed is called __________. ",wake fraction,propeller velocity,speed of advance,wake distribution,A,
189,"As a ship proceeds into higher latitudes, the first form of ice it would be likely to encounter would be in the form of:",icebergs,field ice,pancake ice,pack ice,A,
190,"As a stand-on vessel in a crossing situation, you may hold your course and speed until:",action taken by the give way vessel alone will not prevent collision,the other vessel takes necessary action,the other vessel gets to within half a mile of your vessel,the other vessel gets to within a quarter mile of your vessel,A,
191,"As an ARPA user, what is your indication on the display of a linear extrapolation into the future of a target's motion, based on measurements of the target's range and bearing on the radar in the recent past?",Target's predicted motion,Closest point of approach,Trial maneuver,Future predictive extrapolation,A,
192,"As defined in the Rules, which vessel would qualify as a ""vessel not under command"" among the listed?",a vessel with her anchor down but not holding,a vessel having an accident in her machinery forcing her to reduce her speed drastically,a vessel affected by severe weather conditions,a vessel fishing with trolling lines,A,
193,As much as possible in what angle will cross the TSS:,As condition permits cross the TSS perpendicularly.,You can cross the TSS in any angle and speed.,Cross only diagonally.,There is no rule in crossing the TSS.,A,
194,"As per Soles V regulations safety of navigation a ships of 10,000 gross tons and above shall be fitted, with radar capable of operating in the:",9 GHz frequency band,10 GHz frequency band,12 GHz frequency band,16 GHz frequency band,A,
195,"As prescribed under paragraph (f) of Rule 35, a vessel aground shall give the bell signal and if required also the:",gong signal,whistle signal,light signal,bell signal,A,
196,"As seen from the tow, what should connect the leading ends of both towing bridle legs to the main towing hawser?","A fishplate, flounder, or towing plate",A pad eye,A cable clamp,The towing bitts,A,
197,"As stated in the Collision Regulations, which of the listed refers to Annex II?",Additional Signals for Fishing Vessel Fishing in Close Proximity ,Vertical Positioning and Technical Details of Lights and Shapes,Vertical Positioning and Technical Details of Lights and Shapes,Technical Details of Sound and Light Signal Appliances,A,
198,As team leader of the #2 emergency squad you arrive at the scene of a fire in the Bosun's store room on the weather deck. How would you proceed to fight this fire?,"First, size up the fire situation before committing crew members and equipment and then relay accurate information to the Bridge.",Open the store room door before any boundary cooling is done to determine what is burning.,Pull the fixed fire suppressant system that covers the Bosun Store room to extinguish the fire.,Immediately start boundary cooling the adjacent compartment.,A,
199,"As the propeller turns, voids are formed on the trailing and leading edges of the propeller blades causing a loss of propulsive efficiency, pitting of the blades, and vibration. These voids are known as __________. ",cavitation,advance,edging,slip,A,
200,"As you go higher above the earth surface, the atmospheric pressure:",decreases,increases,remains the same,varies,A,
201,Ascending and descending air masses with different temperatures is part of an important heat transmitting process in our atmosphere called:,convection,barometric inversion,radiation,conduction,A,
202,"Aside from the requirements for the Display Base and Standard Display, who selects the display categories of the “All other information” display level?",The mariner ,The hydrographic office issuing the ENC data,The ECDIS manufacturer ,All of the choices,A,
203,At 0000 you fix your position and change course to 090°T. At 0030 you again fix your position and it is 0.5 mile east of your DR. Which statement is TRUE?,The current is easterly,The drift is 0.5 knot,You should alter course to the right to regain the track line,The current is perpendicular to your track line,A,
204,"At 0915 LZT, on 26 July 2020, you depart Yokohama at Lat. 37deg. 27' N; Long. 139deg. 39' E (ZD-9).  You are bound for Seattle, Lat 47deg. 36' N; Long. 122deg. 22' W and you estimate your speed of advance at 14 knots.  The distance is 4,245 miles.  What is your estimated zone time of arrival at Seattle?","0728, 07 August","0028, 07 August","1528, 08 August","1528, 07 August",A,
205,"At 8.3 feet per second drift, for every 5 knots vessel's speed overboard on a 370 meters length vessel on the ship forecastle, speed 15 knots. How long will it take the fallen man to be abreast of the propeller:",48.74 seconds,14.86 seconds,24.9 seconds,cannot be solved,A,
206,"At meridian passage, upper transit, the observer's latitude was found to be 43deg. 34.7' North, sun's declination is 1deg. 46.3' North.  Find the Observed Altitude of the body. ",48deg. 11.6' S,41deg. 48.4 N,41deg. 48.4' S,48deg. 11.6' N,A,
207,At present the MF/HF transmitter often has an automatic aerial turning unit. Should this fail:,"its always possible to put the turning unit in a fixed position, so the MF distress frequencies can still be used",the transmitter will automatically keep operating on the MF and HF distress frequencies,the transmitter will automatically keep operating Off the MF and HF distress frequencies,"it is not  possible to put the turning unit in a fixed position, so the MF distress frequencies can still be used",A,
