Table 1
FUNCTION 3: CONTROLLING OF OPERATION OF THE SHIP AND  CARE FOR PERSONS ON BOARD AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
173,All personnel should be familiar with the lifeboats:,boarding and operating procedures,maintenance schedule,navigational systems,fuel consumption rates,A,
174,All related equipment which will spill oil into the sea as long as the interface of system is out of control is called:,oil - to - sea,pump room machinery,engine room machinery,cargo control room,A,
175,"All ships of _________ and upwards shall be inclined and the elements of their stability determined – according to SOLAS, Regulation II – 1 / 22.",20 m,100 m,150 m,79 m,A,
176,All vessels not required to have a power driven fire pump shall carry:,at least three 2-1/2 gallon fire buckets,an emergency hand fire and bilge pump,"a suitable, detachable pump usable for fire fighting purposes",not less than three hand fire pumps,A,
177,"Among other restrictions, an oil tanker may not discharge an oily mixture into the sea from a cargo tank, slop tank, or cargo pump room bilge unless the vessel is ________.",discharging at an instantaneous rate of oil content not exceeding 30 liters per nautical mile,"is within ""Special Areas"" defined in Regulation 1 (10) of Annex I to MARPOL 73/78",at anchor or stopped,more than 12 nautical miles from the nearest land,A,
178,"An ""ABC"" dry chemical fire extinguisher would be LEAST effective against a fire in:",a mattress,spilled liquids such as oil or paint,high voltage electrical gear,a trash can,A,
179,"An ""oily mixture"" is defined by  Regulation 1 para. 2 of Marpol 73/78 as mixture:",with any oil content,fuel oil mixture used by the main engines and other machineries of a ship,oil and water,bilge water and sludge,A,
180,An acceptable method of temporarily sealing a crack formed in the hull of a vessel is to:,apply a patch of sheet packing backed by a hole and shoring,drive the wedge,shore-up the crack with welded brace,doubler - plate to be fitted,A,
181,"An electrical shock may cause burns, or it may leave no visible mark on the skin. In either case, an electrical current passing through the body can cause internal damage, cardiac arrest or other injury. Take these actions immediately, except:"," Turn off the source of electricity, if possible. If not, move the source away from you and the person, using a metallic object","Begin CPR if the person shows no signs of circulation, such as breathing, coughing or movement.",Try to prevent the injured person from becoming chilled.,"Apply a bandage. Cover any burned areas with a sterile gauze bandage, if available, or a clean cloth. Don't use a blanket or towel, because loose fibers can stick to the burns.",A,
182,An empty compartment has a permeability of how many percent?,100%,80-85%,30-60%,0%,A,
183,An enclosed space which is formed by the permanent structure of the ship and designed for the carriage of liquid in bulk is called:,tank,cargo tank,ballast tank ,cofferdam,A,
184,An extinguishing agent which is listed NOT suitable for fighting a liquid a paint fire is _________.,water,carbon dioxide,foam,dry chemical,A,
185,An important component of pre-planning for fire emergencies is the general arrangement drawing. What type of drawing is the general arrangement drawing? ,Side elevation view,Top plan view,Perspective view,End elevation view,A,
186,An inflatable liferaft can be launched by __________.,throwing the entire container overboard and then pulling on the operating cord to inflate the raft,removing the securing straps,breaking the weak link on the painter,the float-free method ONLY,A,
187,An inflatable liferaft is hand-launched by __________.,throwing the entire container overboard,removing the rubber packing strip,pulling a cord,cutting the wire restraining bands,A,
188,An IOPP shall be issued after survey in accordance with Regulation 4 of Annex I of Marpol 73/78 to any tanker of _____ or more.,150 GRT,100 GRT,200 GRT,250 GRT,A,
189,An oil tanker must have an NLS Certificate when carrying:,noxious substance in bulk,hazardous liquid substance,dangerous Cargo substances,ballasting operation,A,
190,An oil water monitor is required in order to measure:,the oil content in water,the water content in fuel oil ,the water content in lube oil ,the water content in oil,A,
191,An operator's attention may not stray far from the problem but problem-solving failures may occur due to lack of familiarity with the problem.,Knowledge-based,Rule-based,Ability- base,Attitude-base,A,
192,An oxygen indicator can be used to determine if there is:,sufficient oxygen in a compartment to support life,combustible gases present,hydrogen gas present,All of the choices,A,
193,Angular motion about the vertical axis of a vessel is known as:,yaw,surge,hog,roll,A,
194,Annex I of MARPOL 73/78 was enforced on which date?,"October 02, 1983","April 6, 1987","March 3, 1983","May 6, 1987",A,
195,"Annex VI prescribed regulation for capping of __________ in bunker fuels and limit the emission of _____________, an ozone depleting substances and volatile organic compounds.",Sulfur; Nitrogen Oxide,Sludge; Generator,Sulfur; Carbon Dioxide,Sludge; Incinerator,A,
196,Another name for the garboard strake is the ___________.,a strake,Z strake,side keel plate,stringer plate,A,
197,"Any change to the environment, whether adverse or beneficial, wholly or partially resulting from company activities, or services.",Environmental Impact,Environmental Performance,Environmental Target,Environmental Risk,A,
198,Any firefighting equipment that is carried in addition to the minimum required number must:,meet the applicable standards,be marked as additional equipment,put in one room and used if old extinguisher expires,any of the choices,A,
199,Any release of substances subject to control by Annex VI from ship into the atmosphere or sea is called:,emission,incineration,SOX,sulfur content,A,
200,Any suspicious act or circumstances threatening the security of the ship or of a port facility or any ship/port interface or ship to ship activity.,security incident,terrorism,hijacked,sabotage,A,
201,Anyone of the crew who is assigned to watch duties in ports has a number of important tasks to carry out. Which one of the listed tasks has to be included in the watchman's duties?,Checking the moorings for tightness/slack,Checking the trim of the vessel,Checking the mean draft of the vessel,checking the difference between forward and aft,A,
202,Appendicitis has become common to seafarers. It is a condition characterized by ______________ of the appendix.,inflammation,rupture,breach,disrupt,A,
203,Approximately how far could a straight stream of water reach if the fire hose pressure is reduced to 60 PSI?,50 feet,100 feet,150 feet,200 feet,A,
204,"As  provided in  international laws,  what do  you  call the  accidental introduction  of a  substance by ships to estuaries which  result as harm to  living  resources or hazard to human  health?",Pollution,Disposal,Dumping,Sewage,A,
205,"As a bridge officer, what would be the best thing  to do if the Master does not or cannot take the leadership?","Take action to start the process to solve the situation, but do it diplomatically","Take control, delegate some of the tasks to the Master",Take action to solve the problem in anyways,Take control for everything in the as the master cannot do his job ,A,
