Table 1
FUNCTION 2: CARGO HANDLING AND STOWAGE AT THE DECK OPERATIONAL LEVEL,,,,,,,
No.,Questions,Choice A,Choice B,Choice C,Choice D,Answer,
147,"According to the Cargo Information Data Sheet of LNG, the primary health hazard when this liquid spills over a persons skin is:", frost bite,asphyxia,carcinogenic,high level of toxicity that can absorb by the skin,A,
148,"According to the Chemical Data Guide, the flash point for the grade B flammable liquid piperylene is:",-20deg. F,43deg. C,108deg. F,not available,A,
149,"According to the Chemical Data Guide, which reactive group(s) is/are not compatible with the products polybutene and o-xylene?",Nitric acid,Amides,"Alcohols, glycols","Phenols, cresols",A,
150,"According to the International Grain Code, one (1) degree is equivalent to ___________.", 0.1745 radian,0.1645 radian, 0.1545 radian,0.1345 radian,A,
151,Acetylene is a _________,A colorless gas with high carbon content and lighter than air characteristics,A colorless gas with low carbon content and lighter than air characteristics,A colorless gas which is heavier than air with chemical formula of C2H3 ,A reddish gas with high oxygen content capable of instant ignition ,A,
152,"Additional rolling of a ship, caused by having a bluff stern in interacting with a sharp streamlined bow form.",parametric rolling,bluff stern rolling,streamlined rolling,interacting bluff rolling,A,
153,"After grounding, a damaged vessel has ""free communication with the sea"". What method of damaged stability calculation will you consider?",Lost Buoyancy Method,Added Weight Method,Free Communication Method,Compartment Standard Method,A,
154,"After grounding, extent of the damage to the ship can be determined by which of the following? ",Sounding of all compartments,Taking sounding around the ship,By checking the loadline,By checking the summer line,A,
155,"After loading bulk grain, ship's officers should check every cargo compartment in order to ensure:",all void spaces are filled,that cargo is trimmed properly,the heavier grade is in the lower hold,the correct grade of cargo has been loaded,A,
156,"After riveting is completed, the joints on the shell of a vessel are generally made watertight by:",Center of buoyancy,Metacenter,Metacentric height,Center of gravity,A,
157,"All dedicated seawater ballast tanks shall have an__________ , such as hard protective coatings or equivalent.",Efficient corrosion prevention system,Efficient anti-fouling system,Efficient anti freezing system,Efficient anti-scaling system,A,
158,All lashings and components used for securing should possess breaking strength of not less than _______.,113 Kn,120 Kn,153 kN,100 kN,A,
159,All of the following are causes of malfunctions of power operated hatch covers EXCEPT:,failure of the hold back mechanism,failure of the hydraulic pump,wheels jumping the track,malfunction of the sequence control,A,
160,An acceptable method of temporarily sealing a crack formed  in the hull of a vessel is to:,apply a patch of sheet packing backed by a strong back or shole and shoring,drill holes at each end,shore up the crack with welded braces,tack weld a doubler plate over the crack,A,
161,An adverse effects due to free surface.,A portion of the liquid is removed from a full tanks,The vessel's is draft is decreased exposing more surface are to the wind and current,The vessel's draft increases this increasing the vessel's water plane area,The vessel is trimmed by the stern,A,
162,An article of transport equipment that is of a permanent character and accordingly strong enough to be suitable for repeated use without immediate reloading.,Freight container,Overpack,Container,Unit load,A,
163,An empty compartment has a permeability of how many percent?,100%,80 - 85%,30 - 60%,0%,A,
164,An enclosed space which is formed by the permanent structure of the ship and designed for the carriage of liquid in bulk is called:,tank,cargo tank,ballast tank ,cofferdam,A,
165,An excessive stress that alters or distorts a vessels transverse shape.,Racking Strain,Over Strain,Rocking Strain,Over Stress,A,
166,"An identifiable amount of containers stowed in an orderly way in one specified place on an (ocean) terminal, container freight station, container yard or depot.",Stack,Slot,Spreader,Cell,A,
167,"An important safety consideration and calls for fittings which permit rapid, easy and effective securing of cargoes for ro-ro and container vessels.",Lashing,Dunnaging,Shoring,Stowing,A,
168,An inert gas system installed on tankers is designed for:,lower oxygen level inside the cargo tank makes explosion remote, aid in stripping and cleaning tanks, force toxic and explosive fumes from cargo tanks, increase rate of discharging,A,
169,An instrument that maintains a continuous record of humidity changes is called a:,hygrograph,thermometer,thermograph,barometer,A,
170,An LNG vessel containment system must be cooled down prior to loading cargo. Where are the cool-down parameters and rates obtained from?,The instruction manual provided by the manufacturer of the containment system,The port engineer,Either the master or chief engineer probably knows this information,The knowledgeable shore side loading terminal personnel,A,
171,"Any procedure using welding, fusing, melting and heating works are generally termed as:",Hot work , Welding process,Heating work,Cold work,A,
172,Are goods carried at a freight rate according to their value.,Ad valorem cargo,Special cargo,Expensive cargo,Weight cargo,A,
173,"As an extent of flooding on your vessel increases, you could avoid foundering by ______.",increasing the reserve buoyancy,raising the center of gravity,lowering the center of gravity,jettison of cargoes,A,
174,"As the beam of the vessel increases for a given length, it is apparent that directional stability ________.", Decreases, Remains the same, Increases,Accelerates,A,
175,"At a given draft, a ship of 120 meters length and 15 meters beam has a coefficient of fineness of the waterplane of 0.770. What is her T.P.C at this draft?",14.20 tons,14.30 tons,14.50 tons,14.00 tons,A,
176,"At all angles of inclination, the true measure of vessels stability is the:",righting moment,metacentric height,displacement,Inclining moment,A,
177,"At what latest time shall doors, side scuttles, gangway doors, cargo- and coaling ports and other openings which are to be kept closed watertight at sea be closed at the start of the voyage?",Before leaving the port,Before entering open waters,After leaving the port,After entering open waters,A,
178,"At what level of carbon monoxide, in coal industry, must you inform your owners of a developing self heating situation?",50 ppm,20 ppm,100 ppm,30 ppm,A,
179,At what temperature would you expect to carry a fully refrigerated cargo of ammonia?,- 33° C,- 43° C,- 23° C,- 53° C,A,
180,At what temperature would you expect to carry a fully refrigerated cargo of propane?,- 43° C,- 33° C,- 4° C,- 23° C,A,
181,Atmospheres laden with coal dust or grain dust caused by loading these cargoes __________.,may be explosive in some concentrations,are toxic to human life,require loading operations to be shut down until the atmosphere clears,are subject to spontaneous combustion,A,
182,"Before loading bulk grain, bilge wells must be covered to:", Permit rapid flow of water to the bilge well.,prevent cargos shifting to the bilge well.,"Prevent oil, water or other liquid from reaching the cargo",Add strength to the bilge well strainer,A,
183,Bilge wells must be covered to _________ before loading grain in bulk.,Prevent cargos shifting to the bilge well.,Permit rapid flow of water to the bilge well.,"Prevent oil, water or other liquid from reaching the cargo",Add strength to the bilge well strainer,A,
184,Binder chains used to lash down deck cargoes may be shortened by _____.,Load binders or turnbuckles,Knotting,Bolting two links together," Wiring, welding and pelican hooks",A,
185,Bonding cables are used during cargo transfer to ______:, Prevent an accidental discharge of static electricity., Provide safe electrical power connection to barge equipment, Secure the cargo hose to a hatch when loading “overall”,Keep the vessel from surging excessively,A,
186,"Boxes of bananas are loaded in Puerto Limon bound for Rotterdam. What happens when a carrying temperature of 10 degrees Celsius is maintained throughout the voyage? I. bananas are chilled II. black spots appear under the peel III. bananas will ripen ",Both I & II, Both II & III,Both I & III,I only,A,
187,Brackets joining the deck beam and the side frames are known as:, beam knees,deep web, tripping bracket,plate web,A,
188,"By regulation, a cargo tank must be inserted before and during what operation?",COW,Cleaning,Stripping, Loading,A,
189,"Calculate how many hours would it take for 3 pumps working simultaneously to empty a tank. In one pump, it can empty a tank in 10 hours, another pump can empty the same tank in 5 hours, and another can empty this tank in 8 hours.",2 hours and 21 minutes,2 hours and 40 minutes,3 hours and 25 minutes,2 hours and 15 minutes,A,
190,"Calculate the angle of heel developed when a ship doing 18 knots achieves a steady rate of turn to starboard and the radius of the turning circle is 320 m. KM 8.10 m, KG 7.20 m and KB 4.5 m.",4.68 degrees,4.25 degrees,4.56 degrees,4.72 degrees,A,
191,"Calculate the displacement of the vessel if her TPC,  righting arm and moment of statical stability are 36 tonnes, 46 cm and 5,520 tonnes, respectively.","12,001 tonnes","15,333 tonnes",120 tonnes,"13,234 tonnes",A,
192,"Cargo spaces which is constructed with at least two vertical or sloping longitudinal, grain tight divisions which are coincident with hatch side girders or are so positioned as to limit the effect of any transverse shift of grain are called:",Specially suitable compartment, Grain feeders,"Filled compartment, untrimmed","Filled compartment, trimmed",A,
193,Cargo tanks are to be tested for stripping __________.,prior to cargo loading,after discharging the cargo,Annually,Every 2  1/2  years,A,
194,"Cargo transport units, including freight containers shall be loaded, stowed and secured throughout the voyage in accordance with the cargo securing manual approved by the _____.",Administration,Organization,Classification society,IMO,A,
195,Cargoes in international trade are move by container vessels by how many percent?,75% or over,Under 50%         ,Under 75%         ,under 25%,A,
196,Carriage of dangerous cargoes either or in package form is covered under SOLAS ___________., Chapter VIII,Chapter VI,Chapter V,Chapter IV,A,
197,Certain cargoes must be segregated because of their:,interest characteristics,weight,danger to human,destination,A,
198,Certain cargoes must be segregated because of their:,Inherent characteristics,Danger to humans,Destination,Weight,A,
